"Timestamp","Gender( ස්ත්‍රී පුරුෂ භාවය)","Which province are you from?( ඔබ කුමන පළාතෙන්ද?)","Z- score(Z අගය)","Stream(විෂය ධාරාව)","Highest Education Level of a parent or guardian(දෙමාපියන්ගේ හෝ භාරකරුවෙකුගේ ඉහළම අධ්‍යාපන මට්ටම?)","Do you have access to a computer or a laptop?(ඔබට පරිගණකයකට ප්‍රවේශය තිබේද?)","How long have you been using  computer or a laptop?  ?(ඔබ කොපමණ කාලයක් තිස්සේ පරිගණකයක් භාවිතා කරනවාද?)","Have you done O/L Information Technology Subject ?(ඔබ සාමාන්‍ය පෙළ සඳහා තොරතුරු තාක්ෂණය විෂය හදාරා තිබේද?)","If yes, What is the grade that you obtained for O/L Information Technology Subject?(එසේ නම් ඔබ ඒ සඳහා ලබාගත් සාමාර්තය කුමක්ද?)","Have you followed any computer course(ESOFT/BCS/Coursera etc.)(ඔබ යම් ආකාරයක පරිගණක පාඨමාලාවක් හදාරා තිබේද?)","Have you done self- studies to improve your basic computer literacy skills?(ඔබ ඔබගේ මූලික පරිගණක කුසලතා වර්ධනය කර ගැනීමට ස්වයං අධ්‍යනයන් සිදු කරනවාද?)","How would you rate your Basic Computer Literacy on following Softwares?(පහත සඳහන් යෙදවුම් මෘදුකාංග සම්බන්ධයෙන් ඔබගේ මූලික දැනුම් මට්ටම කුමක්ද?) [Microsoft Word]","How would you rate your Basic Computer Literacy on following Softwares?(පහත සඳහන් යෙදවුම් මෘදුකාංග සම්බන්ධයෙන් ඔබගේ මූලික දැනුම් මට්ටම කුමක්ද?) [Microsoft Excel]","How would you rate your Basic Computer Literacy on following Softwares?(පහත සඳහන් යෙදවුම් මෘදුකාංග සම්බන්ධයෙන් ඔබගේ මූලික දැනුම් මට්ටම කුමක්ද?) [Microsoft PowerPoint]"," [How would you rate your Basic Computer Literacy?(ඔබගේ මූලික පරිගණක දැනුම් මට්ටම කුමක්ද?)]","Have you followed any kind of programming course?(ඔබ යම් ආකාරයක පරිගණක භාෂාවක් සම්බන්ධයෙන්  පාඨමාලාවක් හදාරා තිබේද?)","Do you do self- studies to improve your programming skills?(ඔබ ඔබගේ පරිගණක භාෂා භාවිතය පිළිබඳව  කුසලතා වර්ධනය කර ගැනීමට ස්වයං අධ්‍යනයන් සිදු කරනවාද?)","What programming language/s you have followed?(ඔබ හදාරා ඇති පරිගණක භාෂාව/භාෂාවන් මොනවාද?)"," [How would you rate your programming knowledge?(ඔබගේ පරිගණක භාෂා දැනුම් මට්ටම කුමක්ද?)]","What is the grade that you obtained for O/L English Subject?(ඔබ සාමාන්‍ය පෙළ ඉංග්‍රීසි විෂය සඳහා ලබාගත් සාමාර්තය කුමක්ද?)","What is the grade that you obtained for A/L General English Subject?(ඔබ උසස් පෙළ සාමාන්‍ය ඉංග්‍රීසි විෂය සඳහා ලබාගත් සාමාර්තය කුමක්ද?)","Have you done English Literature subject for O/L Examination?(ඔබ සාමාන්‍ය පෙළ සඳහා ඉංග්‍රීසි සාහිත්‍යය විෂය හදාරා තිබේද?)","If yes, What is the grade that you obtained for O/L English Literature Subject?(එසේ නම් ඔබ ඒ සඳහා ලබාගත් සාමාර්තය කුමක්ද?)","Have you followed any English course before entering the university?(විශ්ව විද්‍යාලයට ඇතුළත් වීමට පෙර ඔබ යම් ආකාරයක ඉංග්‍රීසි පාඨමාලාවක් හදාරා තිබේද?)"," [How would you rate the English course(EC course) offered by the university?(ඔබ විශ්ව විද්‍යාලයේදී හාදාරන ඉංග්‍රීසි පාඨමාලාව සම්බන්ධයෙන් ඔබගේ අදහස කුමක්ද?)]","How would you rate the following ? (concern about the English language not about the course content)(පහත සඳහන් ඒවා සම්බන්ධයෙන් ඔබගේ අදහස් දක්වන්න.  මෙහි අවධානය යොමු වන්නේ ඉංග්‍රීසි භාෂාව සම්බන්ධයෙනි. විෂය සම්බන්ධයෙන් නොවේ ) [Understanding level of lectures(දේශනවල තේරුම් මට්ටම)]","How would you rate the following ? (concern about the English language not about the course content)(පහත සඳහන් ඒවා සම්බන්ධයෙන් ඔබගේ අදහස් දක්වන්න.  මෙහි අවධානය යොමු වන්නේ ඉංග්‍රීසි භාෂාව සම්බන්ධයෙනි. විෂය සම්බන්ධයෙන් නොවේ ) [Understanding level of lecture notes, references, etc.(දේශකයන් ලබාදෙන සටහන් හා අතිරේක කියවීම් පිළිබඳ තේරුම් මට්ටම)]","How would you rate the following ? (concern about the English language not about the course content)(පහත සඳහන් ඒවා සම්බන්ධයෙන් ඔබගේ අදහස් දක්වන්න.  මෙහි අවධානය යොමු වන්නේ ඉංග්‍රීසි භාෂාව සම්බන්ධයෙනි. විෂය සම්බන්ධයෙන් නොවේ ) [Understanding level of the problems which were in semester examination papers(විභාග වලදී ලැබුණු ප්‍රශ්න පත්‍ර වල තේරුම් මට්ටම ?)]"," [How would you rate your English literacy?(ඔබගේ ඉංග්‍රීසි භාෂා දැනුම් මට්ටම කුමක්ද?)]","Any other comments or suggestions to improve the computer & English literacy of undergraduates:(උපාධි අපේක්ෂකයින්ගේ පරිගණක සහ ඉංග්‍රීසි දැනුම් මට්ටම වැඩි දියුණු කිරීම සඳහා වෙනත් අදහස් හෝ යෝජනා තිබේද?)"
"2022/12/03 6:37:05 AM GMT+5:30","Male","North-Western Province","1.6945","Bio","A/Levels","Yes","more than 3 years","No","","Yes","Yes","Good","Good","Good","Good","Yes","Yes","Python","Good","A","A","Yes","B","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Good",""
"2022/12/03 6:57:47 AM GMT+5:30","Female","Northern Province","1.5145","MB","Degree","Yes","more than 3 years","Yes","A","No","Yes","Very good","Good","Good","Good","No","No","None","Weak","A","A","Yes","A","No","Very good","Excellent","Excellent","Excellent","Very good",""
"2022/12/03 6:58:52 AM GMT+5:30","Female","Sabaragamuwa Province","1.453","MB","A/Levels","Yes","1-3 years","No","","Yes","Yes","Average","Average","Average","Average","No","No","None","Very weak","C","S","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/03 7:05:09 AM GMT+5:30","Female","North-Central province","1.07","MB","O/Levels or Below","Yes","Less than one year","No","","No","No","Average","Average","Weak","Average","No","No","Python","Average","B","C","No","","No","Good","Satisfactory","Satisfactory","Fair","Weak",""
"2022/12/03 7:06:06 AM GMT+5:30","Female","Southern Province","1.4325","MB","A/Levels","Yes","Less than one year","No","","No","No","Very good","Good","Average","Weak","No","No","None","Weak","A","C","No","","Yes","Average","Satisfactory","Satisfactory","Satisfactory","Average","No"
"2022/12/03 7:08:04 AM GMT+5:30","Female","Western Province","1.5031","Bio","Diploma","Yes","more than 3 years","Yes","A","No","Yes","Good","Very good","Good","Good","No","Yes","Python","Average","A","A","Yes","B","No","Good","Very good","Satisfactory","Very good","Good",""
"2022/12/03 7:14:53 AM GMT+5:30","Female","Western Province","1.53","Bio","Diploma","Yes","more than 3 years","No","","No","Yes","Good","Good","Average","Average","No","Yes","None","Average","B","B","No","","No","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/03 7:20:10 AM GMT+5:30","Female","Western Province","1.384","Bio","Higher","Yes","more than 3 years","No","","No","No","Very good","Very good","Very good","Very good","No","No","None","Very weak","A","A","Yes","A","No","Average","Excellent","Excellent","Excellent","Very good",""
"2022/12/03 7:39:01 AM GMT+5:30","Female","Western Province","1.3204","P4","A/Levels","Yes","more than 3 years","Yes","A","Yes","Yes","Good","Good","Good","Good","Yes","No","Java","Average","A","B","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/03 7:50:01 AM GMT+5:30","Male","Southern Province","1.6334","MB","Diploma","Yes","more than 3 years","Yes","A","Yes","Yes","Good","Good","Good","Average","No","Yes","Python;VB 6.0, MATLAB (very basic entry level knowledge)","Average","B","B","No","","No","Average","Satisfactory","Very good","Very good","Average","--"
"2022/12/03 7:50:52 AM GMT+5:30","Female","Southern Province","1.5047","MB","Degree","Yes","more than 3 years","Yes","A","No","Yes","Good","Good","Good","Good","No","Yes","None","Weak","A","A","Yes","A","No","Good","Satisfactory","Satisfactory","Satisfactory","Good",""
"2022/12/03 7:51:08 AM GMT+5:30","Female","Western Province","1.6665","Bio","Degree","Yes","more than 3 years","No","","No","Yes","Very good","Average","Average","Very good","No","No","None","Average","A","A","Yes","A","No","Good","Excellent","Excellent","Excellent","Very good",""
"2022/12/03 8:00:45 AM GMT+5:30","Female","Eastern Province","0.9153","MB","O/Levels or Below","Yes","Less than one year","No","","No","Yes","Good","Average","Average","Weak","Yes","No","Python","Weak","B","A","No","","Yes","Average","Satisfactory","Satisfactory","Fair","Good",""
"2022/12/03 8:18:26 AM GMT+5:30","Female","Western Province","1.526","Bio","Degree","Yes","more than 3 years","Yes","A","No","No","Good","Good","Good","Good","Yes","No","Python;Pascal","Average","A","A","Yes","B","No","Good","Very good","Very good","Very good","Good",""
"2022/12/03 8:36:30 AM GMT+5:30","Female","Western Province","1.7765","MB","Degree","Yes","more than 3 years","Yes","A","Yes","No","Good","Good","Good","Good","No","No","None","Very weak","A","B","No","","Yes","Good","Very good","Very good","Very good","Good",""
"2022/12/03 8:49:14 AM GMT+5:30","Female","Western Province","1.55","Bio","Diploma","Yes","more than 3 years","Yes","A","No","Yes","Good","Good","Good","Very good","Yes","Yes","Python","Average","A","A","Yes","A","No","Average","Very good","Very good","Very good","Very good",""
"2022/12/03 9:10:17 AM GMT+5:30","Female","Western Province","1.5219","Bio","Degree","Yes","more than 3 years","No","","No","No","Very good","Very good","Very good","Very good","No","No","None","Very weak","A","A","No","","No","Very good","Excellent","Excellent","Very good","Very good",""
"2022/12/03 9:14:30 AM GMT+5:30","Female","Sabaragamuwa Province","1.3857","Bio","A/Levels","Yes","more than 3 years","Yes","A","No","Yes","Very good","Good","Good","Average","No","Yes","Python","Weak","A","A","Yes","B","No","Average","Fair","Fair","Satisfactory","Average",""
"2022/12/03 9:39:13 AM GMT+5:30","Female","Western Province","1.3232","P4","A/Levels","Yes","more than 3 years","No","","No","Yes","Average","Average","Average","Average","No","Yes","c++","Average","B","C","No","","No","Good","Satisfactory","Satisfactory","Satisfactory","Good","talking friends with english"
"2022/12/03 9:39:35 AM GMT+5:30","Female","Southern Province","1.3358","P4","Degree","Yes","Less than one year","Yes","A","No","No","Average","Average","Average","Average","No","No","None","Weak","A","S","No","","No","Average","Poor","Fair","Fair","Weak",""
